nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
NEOCREX ERYTHROPS,Neocrex erythrops,"Neocrex erythrops (P.L.Sclater, 1867)",2474728.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Neocrex,ACCEPTED,99,LC
COLUMBINA MINUTA,Columbina minuta,"Columbina minuta (Linnaeus, 1766)",2495853.0,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,ACCEPTED,99,LC
VIREO   SP.,Vireo sp.,"Vireo Vieillot, 1808",2487406.0,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,ACCEPTED,94,NE
CHELONOIDES DENTICULATA,Chelonoides denticulata,"Chelonoidis denticulatus (Linnaeus, 1766)",5220281.0,Animalia,Chordata,Testudines,,Testudinidae,Chelonoidis,ACCEPTED,85,
MOLOSSUS SP,Molossus sp,"Molossus E.Geoffroy, 1805",2433042.0,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Molossus,ACCEPTED,94,NE
CHERAX QUADRICARINATUS,Cherax quadricarinatus,"Cherax quadricarinatus (von Martens, 1868)",4648609.0,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Cherax,ACCEPTED,99,LC
MABUYA MABOUYA,Mabuya mabouya,"Mabuya mabouya (Bonnaterre, 1789)",5960489.0,Animalia,Chordata,Squamata,,Scincidae,Mabuya,ACCEPTED,97,CR
FALCO PEREGRINUS,Falco peregrinus,"Falco peregrinus Tunstall, 1771",2481047.0,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,ACCEPTED,99,LC
PODOCNEMIS LEWYANA,Podocnemis lewyana,"Podocnemis lewyana Duméril, 1852",2442789.0,Animalia,Chordata,Testudines,,Podocnemididae,Podocnemis,ACCEPTED,99,CR
SAPAJUS APELLA,Sapajus apella,"Sapajus apella (Linnaeus, 1758)",7477334.0,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,ACCEPTED,99,LC
