especie_key,tipo_especie,nombre_comun,nombre_cientifico,categoria_iucn,categoria_iucn_label,es_amenazada
457,MAMIFEROS,DESCONOCIDO,DESCONOCIDO,NE,No evaluada,False
458,AVES,COTORRA CABECIAZUL,PIONUS MENSTRUUS,NE,No evaluada,False
459,AVES,GAVILAN CAMINERO,RUPORNIS MAGNIROSTRIS,NE,No evaluada,False
460,AVES,COQUITO,PHIMOSUS INFUSCATUS,NE,No evaluada,False
461,AVES,TORCAZA,COLUMBINA TALPACOTI,NE,No evaluada,False
462,AVES,TORCAZA,ZENAIDA AURICULATA,NE,No evaluada,False
463,AVES,SIRIRI,TYRANNUS MELANCHOLICUS,NE,No evaluada,False
464,AVES,CARPINTERO,DRYOCOPUS LINEATUS,NE,No evaluada,False
465,MAMIFEROS,MARMOSA,MARMOSA SP,NE,No evaluada,False
466,MAMIFEROS,ARDILLA,NOTOSCIURUS GRANATENSIS,NE,No evaluada,False
467,AVES,BUJIO,NYCTIDROMUS ALBICOLLIS,NE,No evaluada,False
468,REPTILES,CULEBRA CABEZONA,IMANTODES CENCHOA,NE,No evaluada,False
469,AVES,TORCAZA,COLIUMBINA TALPCOTI,NE,No evaluada,False
470,MAMIFEROS,ONCILLA,LEOPARDUS TIGRINUS,NE,No evaluada,False
471,MAMIFEROS,VENADO,MAZAMA,NE,No evaluada,False
472,MAMIFEROS,ZARIGÜEYA,DIDELPHIS MARSUPIALIS,NE,No evaluada,False
473,AVES,GALLINAZOS,CORAGYPS ATRATUS,NE,No evaluada,False
474,MAMIFEROS,PUMA,PUMA CONCOLOR,NE,No evaluada,False
475,MAMIFEROS,DANTA,TAPIRUS PINCHAQUE,NE,No evaluada,False
476,REPTILES,OJO DE GATO,IMANTODES CENCHOA,NE,No evaluada,False
477,AVES,TOCHE VOLADORA,SPILOTES PULLATUS,NE,No evaluada,False
478,AVES,POLLA DE AGUA,PORPHYRIO MARTINICUS,NE,No evaluada,False
479,REPTILES,BOA CHOCOLATE,EPICRATES MAURUS,NE,No evaluada,False
480,REPTILES,CAZADORA NEGRA,CLELIA CLELIA,NE,No evaluada,False
481,AVES,TÓRTOLA,COLUMBINA TALPACOTI,NE,No evaluada,False
482,REPTILES,TORTUGA TERECAY,PODOCNEMIS UNIFILIS,NE,No evaluada,False
483,REPTILES,TORTUGA SABANERA,PODOCNEMIS VOGLI,NE,No evaluada,False
484,REPTILES,CAZADORA NEGRA,CLEIA CLEIA,NE,No evaluada,False
485,REPTILES,DRAGON BARBUDO,POGONA VITTICEPS,NE,No evaluada,False
486,DESCONOCIDO,CUCARACHAS,CUCARACHAS,NE,No evaluada,False
487,DESCONOCIDO,MUDAS,MUDAS DE BOAS CONSTRICTOR,NE,No evaluada,False
488,DESCONOCIDO,GRILLOS,GRYLLUS CAMPESTRES,NE,No evaluada,False
489,REPTILES,HICOTEA,TRACHEMYC CALLIROSTRIS,NE,No evaluada,False
490,AVES,GUACAMAYA AZUL Y AMARILLA,ARA ARARAUNA,NE,No evaluada,False
491,AVES,LORA CACHETI AMARILLA,AMAZONA AMAZONICA,NE,No evaluada,False
492,AVES,GALLINAZO,CORAGYPS ATRATUS,NE,No evaluada,False
493,AVES,CANARIO,SICALIS FLAVEOLA,NE,No evaluada,False
494,AVES,PERICO,BROTOGERIS JUGULARIS,NE,No evaluada,False
495,AVES,BARRANQUERO,MOMOTUS AEQUATORIALIS,NE,No evaluada,False
496,AVES,TÓRTOLA,ZENAIDA AURICULATA,NE,No evaluada,False
