nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
AULACORHYNCHUS HAEMATOPYGUS,,,,,,,,,,,0,
TARANTULA,,,,,,,,,,,0,
ARATINGA LEUCOPHTALMUS,,,,,,,,,,,0,
KNIPOLEGUS POECILURUS POECILURUS (P.L. SCLATER),,,,,,,,,,,0,
RAMPHASTOS SWAINSONII,,,,,,,,,,,0,
PIONUS CHALCOPTERUS,,,,,,,,,,,0,
INDETERMINADA SP.,,,,,,,,,,,0,
ERYTHROLAMPRUS  BIZONA,,,,,,,,,,,0,
ASIO STYGIUS ROBUSTUS KELSO,,,,,,,,,,,0,
MILVALGO CHIMACHIMA,,,,,,,,,,,0,
NYCTIBIUS GRISEUS,,,,,,,,,,,0,
CAPRIMULGUS CAROLIENSIS GMELIN,,,,,,,,,,,0,
CYANOCORAX YNCAS,,,,,,,,,,,0,
ASIO CLAMATUR,,,,,,,,,,,0,
FALCO COLUMBARIUS,,,,,,,,,,,0,
NOTIOCHELIDON CYANOLEUCA,,,,,,,,,,,0,
AGAPORNIS PERSONATA,,,,,,,,,,,0,
SALAMANDRA SALAMANDRA,,,,,,,,,,,0,
CAMPEPHILUS MELANOLEUCUS,,,,,,,,,,,0,
CERYLE TORQUATA,,,,,,,,,,,0,
CICCABA ALBITARSUS (BONAPARTE),,,,,,,,,,,0,
SCIURUS GRANATENSIS QUINDIANUS (J.A. ALLEN),,,,,,,,,,,0,
COLUMBA FASCIATA ALBILINEA BONAPARTE,,,,,,,,,,,0,
CAIMA COCODRILUS,,,,,,,,,,,0,
TAPIRUS TERRESTRIS,,,,,,,,,,,0,
FELIX PARDALIS,,,,,,,,,,,0,
MAZAMA RUFINA,,,,,,,,,,,0,
STRUTHIO CAMELIUS,,,,,,,,,,,0,
PYROCEPHALUS RUBINUS,,,,,,,,,,,0,
PANTHERA LEO,,,,,,,,,,,0,
